fips,county_name,median_hh_income,population,land_sqmi,pop_density_sqmi,pct_bachelors_plus,acs_vintage,source
05111,"Poinsett County, Arkansas",47188,22740,758.295,29.99,11.92,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05113,"Polk County, Arkansas",49252,19348,856.838,22.58,17.2,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05115,"Pope County, Arkansas",54606,63830,810.952,78.71,24.64,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05117,"Prairie County, Arkansas",51094,8162,647.516,12.61,16.71,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05119,"Pulaski County, Arkansas",60385,398949,758.366,526.06,37.36,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05121,"Randolph County, Arkansas",52838,18733,651.913,28.74,14.48,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05123,"St. Francis County, Arkansas",41784,22740,634.784,35.82,12.9,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05125,"Saline County, Arkansas",76534,125724,723.516,173.77,28.5,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05127,"Scott County, Arkansas",45955,9839,892.85,11.02,10.83,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05129,"Searcy County, Arkansas",41978,7861,665.879,11.81,13.69,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05131,"Sebastian County, Arkansas",56450,128448,531.183,241.81,24.38,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05133,"Sevier County, Arkansas",51641,15797,563.569,28.03,10.93,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05135,"Sharp County, Arkansas",42950,17597,604.641,29.1,11.93,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05137,"Stone County, Arkansas",38531,12474,606.44,20.57,15.38,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05139,"Union County, Arkansas",50221,38368,1039.067,36.93,18.92,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
