state,county,census_instrument,census_status,census_episodes,census_statuses,census_date,census_source,tracker_mechanism,tracker_outcome,tracker_date,model_label,join_status,gap_class,label_check,label_false_negative
NE,Otoe County,moratorium,pending,1,pending,,"moratorium-nation:ne-otoe-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2026-05-19,1,joined,census_pending_out_of_scope,out_of_scope,0
PA,Montour County,moratorium,active,1,active,2025-11-18,"moratorium-nation:pa-montour-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",conditional_zoning,restricted_conditional,2026-02-10,0,joined,covered_unconfirmed,label_false_negative,1
TN,Hawkins County,moratorium,active,1,active,2025-09-22,"moratorium-nation:tn-hawkins-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",ban,blocked_confirmed,2025-09,1,joined,covered_confirmed,agree,0
TN,Sullivan County,moratorium,expired,1,expired,2025-12-18,"moratorium-nation:tn-sullivan-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2025-10-07,1,joined,covered_confirmed,agree,0
TN,Washington County,moratorium,active,1,active,2026-03-23,"moratorium-nation:tn-washington-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2026-05-22,1,joined,covered_confirmed,agree,0
VA,Fluvanna County,moratorium,replaced,1,replaced,2025-09-17,"moratorium-nation:va-fluvanna-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2025-11-19,1,joined,covered_confirmed,agree,0
WI,Manitowoc County,moratorium,active,1,active,2026-04-28,"moratorium-nation:wi-manitowoc-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,pending,2026-02-20,1,joined,covered_unconfirmed,agree,0
TN,Sumner County,moratorium,active,1,active,2026-07-29,https://www.wsmv.com/2026/07/29/future-data-centers-unclear-midstate-one-county-tables-moratorium-other-area-passes-pause-applications/ (hawthorn-tva-review-2026-08-21: Gallatin city action),moratorium,blocked_confirmed,2026-07-29,1,joined,covered_confirmed,agree,0
NC,Cherokee County,moratorium,active,1,active,,"https://www.law360.com/articles/2511658 (hawthorn-tva-review-2026-08-21: date and precise ordinance status uncertain across sources, see review note)",,,,0,joined,missing,label_false_negative,1
GA,Floyd County,moratorium,active,1,active,2026-06-09,https://www.wrganews.com/2026/06/10/the-floyd-county-commission-approved-an-80-day-moratorium-on-data-center-projects/ (hawthorn-tva-review-2026-08-21: 80-day term),moratorium,blocked_confirmed,2026-06-09,1,joined,covered_confirmed,agree,0
KY,Simpson County,zoning_standards,active,1,active,2025-12,"https://www.lpm.org/news/2026-01-28/data-center-developer-sues-simpson-county-government-over-land-use-ordinance (hawthorn-tva-review-2026-08-21: ordinance 440.70, under litigation)",conditional_zoning,restricted_conditional,2025-12,1,joined,covered_unconfirmed,agree,0
TN,Hamilton County,moratorium,active,1,active,2026-07-15,https://www.timesfreepress.com/news/2026/jul/15/hamilton-county-commission-approves-yearlong-data/ (hawthorn-tva-review-2026-08-21: one-year term),ban,blocked_confirmed,2026-07-15,1,joined,covered_confirmed,agree,0
TN,Grundy County,moratorium,active,1,active,2026-05-18,https://www.sewaneemessenger.com/headlines/?post_id=3474&title=trend-setting-grundy-county-data-center-moratorium (hawthorn-tva-review-2026-08-21: two-year term to 2028-05-18),ban,blocked_confirmed,2026-05-18,1,joined,covered_confirmed,agree,0
TN,Coffee County,moratorium,active,1,active,2026-06-09,https://www.newschannel5.com/news/state/tennessee/coffee-county/coffee-county-bans-new-data-centers-for-one-year (hawthorn-tva-review-2026-08-21: one-year term),moratorium,blocked_confirmed,2026-06-09,1,joined,covered_confirmed,agree,0
GA,Walker County,moratorium,active,1,active,2026-07-09,https://walkercountyga.gov/2026/08/07/board-delays-budget-vote-enacts-180-day-moratorium-on-data-centers/ (hawthorn-tva-review-2026-08-21: extended from 30 to 180 days on 2026-08-06),moratorium,blocked_confirmed,2026-07-09,1,joined,covered_confirmed,agree,0
